2022-02-16 21:10:59,657 [main.py         | 38] INFO: Start to run /Users/yangjingfeng/Library/CloudStorage/OneDrive-Personal/Public/PhD Study/Papers/Food_Delivery/Code/Food_delivery_simulator/Benchmark/Instance_small: instance_56
2022-02-16 21:11:00,330 [simulator_api.py | 75] INFO: Initial position of D_80 is Alexandra Village Food Centre
2022-02-16 21:11:00,331 [simulator_api.py | 75] INFO: Initial position of D_81 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,331 [simulator_api.py | 75] INFO: Initial position of D_82 is Alexandra Village Food Centre
2022-02-16 21:11:00,331 [simulator_api.py | 75] INFO: Initial position of D_83 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,331 [simulator_api.py | 75] INFO: Initial position of D_84 is Alexandra Village Food Centre
2022-02-16 21:11:00,331 [simulator_api.py | 75] INFO: Initial position of D_85 is Alexandra Village Food Centre
2022-02-16 21:11:00,344 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:00,344 [simulator_env.py | 91] INFO: cur time: 2022-02-16 09:10:00, pre time: 2022-02-16 09:00:00
2022-02-16 21:11:00,344 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 09:10:00
2022-02-16 21:11:00,347 [simulator_env.py | 175] INFO: Get 17 unallocated orders, 0 ongoing orders, 0 completed orders.
2022-02-16 21:11:01,926 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:01,927 [simulator_env.py | 278] INFO: 2022-02-16 09:10:00, Order 09001000000: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:01,928 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:01,928 [simulator_env.py | 91] INFO: cur time: 2022-02-16 09:20:00, pre time: 2022-02-16 09:10:00
2022-02-16 21:11:01,928 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 09:20:00
2022-02-16 21:11:01,934 [simulator_env.py | 175] INFO: Get 33 unallocated orders, 9 ongoing orders, 8 completed orders.
2022-02-16 21:11:04,091 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:04,093 [simulator_env.py | 278] INFO: 2022-02-16 09:20:00, Order 09100600017: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:04,094 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:04,094 [simulator_env.py | 91] INFO: cur time: 2022-02-16 09:30:00, pre time: 2022-02-16 09:20:00
2022-02-16 21:11:04,095 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 09:30:00
2022-02-16 21:11:04,104 [simulator_env.py | 175] INFO: Get 27 unallocated orders, 24 ongoing orders, 26 completed orders.
2022-02-16 21:11:06,131 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:06,134 [simulator_env.py | 278] INFO: 2022-02-16 09:30:00, Order 09201500050: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:06,135 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:06,135 [simulator_env.py | 91] INFO: cur time: 2022-02-16 09:40:00, pre time: 2022-02-16 09:30:00
2022-02-16 21:11:06,135 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 09:40:00
2022-02-16 21:11:06,146 [simulator_env.py | 175] INFO: Get 24 unallocated orders, 20 ongoing orders, 57 completed orders.
2022-02-16 21:11:08,254 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:08,257 [simulator_env.py | 278] INFO: 2022-02-16 09:40:00, Order 09300900077: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:08,258 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:08,258 [simulator_env.py | 91] INFO: cur time: 2022-02-16 09:50:00, pre time: 2022-02-16 09:40:00
2022-02-16 21:11:08,258 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 09:50:00
2022-02-16 21:11:08,268 [simulator_env.py | 175] INFO: Get 25 unallocated orders, 15 ongoing orders, 86 completed orders.
2022-02-16 21:11:10,226 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:10,229 [simulator_env.py | 278] INFO: 2022-02-16 09:50:00, Order 09402800101: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:10,230 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:10,230 [simulator_env.py | 91] INFO: cur time: 2022-02-16 10:00:00, pre time: 2022-02-16 09:50:00
2022-02-16 21:11:10,230 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 10:00:00
2022-02-16 21:11:10,239 [simulator_env.py | 175] INFO: Get 38 unallocated orders, 19 ongoing orders, 107 completed orders.
2022-02-16 21:11:12,271 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:12,275 [simulator_env.py | 278] INFO: 2022-02-16 10:00:00, Order 09503700126: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:12,276 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:12,276 [simulator_env.py | 91] INFO: cur time: 2022-02-16 10:10:00, pre time: 2022-02-16 10:00:00
2022-02-16 21:11:12,276 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 10:10:00
2022-02-16 21:11:12,294 [simulator_env.py | 175] INFO: Get 32 unallocated orders, 27 ongoing orders, 137 completed orders.
2022-02-16 21:11:14,252 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:14,257 [simulator_env.py | 278] INFO: 2022-02-16 10:10:00, Order 10000500164: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:14,258 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:14,258 [simulator_env.py | 91] INFO: cur time: 2022-02-16 10:20:00, pre time: 2022-02-16 10:10:00
2022-02-16 21:11:14,258 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 10:20:00
2022-02-16 21:11:14,268 [simulator_env.py | 175] INFO: Get 26 unallocated orders, 20 ongoing orders, 176 completed orders.
2022-02-16 21:11:16,138 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:16,141 [simulator_env.py | 278] INFO: 2022-02-16 10:20:00, Order 10104200196: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:16,142 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:16,142 [simulator_env.py | 91] INFO: cur time: 2022-02-16 10:30:00, pre time: 2022-02-16 10:20:00
2022-02-16 21:11:16,142 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 10:30:00
2022-02-16 21:11:16,153 [simulator_env.py | 175] INFO: Get 30 unallocated orders, 19 ongoing orders, 203 completed orders.
2022-02-16 21:11:18,103 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:18,106 [simulator_env.py | 278] INFO: 2022-02-16 10:30:00, Order 10201000222: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:18,107 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:18,107 [simulator_env.py | 91] INFO: cur time: 2022-02-16 10:40:00, pre time: 2022-02-16 10:30:00
2022-02-16 21:11:18,107 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 10:40:00
2022-02-16 21:11:18,118 [simulator_env.py | 175] INFO: Get 40 unallocated orders, 17 ongoing orders, 235 completed orders.
2022-02-16 21:11:20,081 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:20,084 [simulator_env.py | 278] INFO: 2022-02-16 10:40:00, Order 10300500252: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:20,085 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:20,086 [simulator_env.py | 91] INFO: cur time: 2022-02-16 10:50:00, pre time: 2022-02-16 10:40:00
2022-02-16 21:11:20,088 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 10:50:00
2022-02-16 21:11:20,099 [simulator_env.py | 175] INFO: Get 37 unallocated orders, 27 ongoing orders, 265 completed orders.
2022-02-16 21:11:22,053 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:22,056 [simulator_env.py | 278] INFO: 2022-02-16 10:50:00, Order 10402600292: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:22,058 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:22,058 [simulator_env.py | 91] INFO: cur time: 2022-02-16 11:00:00, pre time: 2022-02-16 10:50:00
2022-02-16 21:11:22,058 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 11:00:00
2022-02-16 21:11:22,070 [simulator_env.py | 175] INFO: Get 32 unallocated orders, 24 ongoing orders, 305 completed orders.
2022-02-16 21:11:24,123 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:24,129 [simulator_env.py | 278] INFO: 2022-02-16 11:00:00, Order 10501500329: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:24,130 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:24,131 [simulator_env.py | 91] INFO: cur time: 2022-02-16 11:10:00, pre time: 2022-02-16 11:00:00
2022-02-16 21:11:24,131 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 11:10:00
2022-02-16 21:11:24,144 [simulator_env.py | 175] INFO: Get 24 unallocated orders, 25 ongoing orders, 336 completed orders.
2022-02-16 21:11:26,137 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:26,140 [simulator_env.py | 278] INFO: 2022-02-16 11:10:00, Order 11010600361: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:26,141 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:26,141 [simulator_env.py | 91] INFO: cur time: 2022-02-16 11:20:00, pre time: 2022-02-16 11:10:00
2022-02-16 21:11:26,141 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 11:20:00
2022-02-16 21:11:26,152 [simulator_env.py | 175] INFO: Get 38 unallocated orders, 15 ongoing orders, 370 completed orders.
2022-02-16 21:11:28,120 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:28,123 [simulator_env.py | 278] INFO: 2022-02-16 11:20:00, Order 11100800385: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:28,126 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:28,128 [simulator_env.py | 91] INFO: cur time: 2022-02-16 11:30:00, pre time: 2022-02-16 11:20:00
2022-02-16 21:11:28,128 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 11:30:00
2022-02-16 21:11:28,145 [simulator_env.py | 175] INFO: Get 25 unallocated orders, 23 ongoing orders, 400 completed orders.
2022-02-16 21:11:30,305 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:30,309 [simulator_env.py | 278] INFO: 2022-02-16 11:30:00, Order 11214000423: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:30,310 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:30,310 [simulator_env.py | 91] INFO: cur time: 2022-02-16 11:40:00, pre time: 2022-02-16 11:30:00
2022-02-16 21:11:30,310 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 11:40:00
2022-02-16 21:11:30,320 [simulator_env.py | 175] INFO: Get 29 unallocated orders, 17 ongoing orders, 431 completed orders.
2022-02-16 21:11:32,402 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:32,406 [simulator_env.py | 278] INFO: 2022-02-16 11:40:00, Order 11300300448: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:32,407 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:32,408 [simulator_env.py | 91] INFO: cur time: 2022-02-16 11:50:00, pre time: 2022-02-16 11:40:00
2022-02-16 21:11:32,408 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 11:50:00
2022-02-16 21:11:32,416 [simulator_env.py | 175] INFO: Get 32 unallocated orders, 20 ongoing orders, 457 completed orders.
2022-02-16 21:11:34,495 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:34,498 [simulator_env.py | 278] INFO: 2022-02-16 11:50:00, Order 11401200477: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:34,499 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:34,499 [simulator_env.py | 91] INFO: cur time: 2022-02-16 12:00:00, pre time: 2022-02-16 11:50:00
2022-02-16 21:11:34,499 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 12:00:00
2022-02-16 21:11:34,511 [simulator_env.py | 175] INFO: Get 40 unallocated orders, 19 ongoing orders, 490 completed orders.
2022-02-16 21:11:36,450 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:36,453 [simulator_env.py | 278] INFO: 2022-02-16 12:00:00, Order 11501300509: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:36,454 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:36,455 [simulator_env.py | 91] INFO: cur time: 2022-02-16 12:10:00, pre time: 2022-02-16 12:00:00
2022-02-16 21:11:36,455 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 12:10:00
2022-02-16 21:11:36,465 [simulator_env.py | 175] INFO: Get 14 unallocated orders, 19 ongoing orders, 530 completed orders.
2022-02-16 21:11:38,436 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:38,438 [simulator_env.py | 278] INFO: 2022-02-16 12:10:00, Order 12002600549: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:38,439 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:38,439 [simulator_env.py | 91] INFO: cur time: 2022-02-16 12:20:00, pre time: 2022-02-16 12:10:00
2022-02-16 21:11:38,439 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 12:20:00
2022-02-16 21:11:38,446 [simulator_env.py | 175] INFO: Get 19 unallocated orders, 10 ongoing orders, 553 completed orders.
2022-02-16 21:11:40,531 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:40,533 [simulator_env.py | 278] INFO: 2022-02-16 12:20:00, Order 12102000563: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:40,533 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:40,534 [simulator_env.py | 91] INFO: cur time: 2022-02-16 12:30:00, pre time: 2022-02-16 12:20:00
2022-02-16 21:11:40,534 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 12:30:00
2022-02-16 21:11:40,544 [simulator_env.py | 175] INFO: Get 21 unallocated orders, 15 ongoing orders, 567 completed orders.
2022-02-16 21:11:42,646 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:42,649 [simulator_env.py | 278] INFO: 2022-02-16 12:30:00, Order 12201000582: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:42,650 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:42,650 [simulator_env.py | 91] INFO: cur time: 2022-02-16 12:40:00, pre time: 2022-02-16 12:30:00
2022-02-16 21:11:42,650 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 12:40:00
2022-02-16 21:11:42,661 [simulator_env.py | 175] INFO: Get 13 unallocated orders, 14 ongoing orders, 589 completed orders.
2022-02-16 21:11:44,719 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:44,722 [simulator_env.py | 278] INFO: 2022-02-16 12:40:00, Order 12304400603: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:44,723 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:44,723 [simulator_env.py | 91] INFO: cur time: 2022-02-16 12:50:00, pre time: 2022-02-16 12:40:00
2022-02-16 21:11:44,723 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 12:50:00
2022-02-16 21:11:44,730 [simulator_env.py | 175] INFO: Get 20 unallocated orders, 9 ongoing orders, 607 completed orders.
2022-02-16 21:11:46,725 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:46,727 [simulator_env.py | 278] INFO: 2022-02-16 12:50:00, Order 12402100616: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:46,728 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:46,728 [simulator_env.py | 91] INFO: cur time: 2022-02-16 13:00:00, pre time: 2022-02-16 12:50:00
2022-02-16 21:11:46,728 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 13:00:00
2022-02-16 21:11:46,737 [simulator_env.py | 175] INFO: Get 10 unallocated orders, 15 ongoing orders, 621 completed orders.
